City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bara,10.3744,10.7288,296.32,22,0,4.41,NG,1676839014
1,ushuaia,-54.8,-68.3,281.96,66,40,8.23,AR,1676838939
2,ust-nera,64.5667,143.2,232.5,99,83,1.15,RU,1676839015
3,port elizabeth,-33.918,25.5701,294.32,88,0,2.06,ZA,1676839016
4,albany,42.6001,-73.9662,280.9,44,100,0.89,US,1676838482
5,thompson,55.7435,-97.8558,246.24,58,0,2.57,CA,1676839016
6,kilindoni,-7.9139,39.6668,300.47,77,26,5.73,TZ,1676839017
7,asau,46.4333,26.4,279.66,95,82,1.12,RO,1676839017
8,longyearbyen,78.2186,15.6401,259.06,72,40,2.06,SJ,1676839018
9,grindavik,63.8424,-22.4338,277.12,93,75,15.43,IS,1676839018
10,saldanha,-33.0117,17.9442,293.18,81,61,5.03,ZA,1676839019
11,victoria,22.2855,114.1577,293.36,77,100,4.92,HK,1676838904
12,palmer,42.1584,-72.3287,280.9,41,100,8.23,US,1676839020
13,bangahan,7.8044,124.7289,293.01,94,92,0.13,PH,1676839020
14,ayan,56.45,138.1667,253.88,80,69,4.38,RU,1676839021
15,mirnyy,62.5353,113.9611,252.17,97,89,3.12,RU,1676839021
16,khatanga,71.9667,102.5,258.71,90,69,6.99,RU,1676839022
17,avarua,-21.2078,-159.775,302.18,74,30,5.14,CK,1676839023
18,arraial do cabo,-22.9661,-42.0278,301.13,78,0,7.72,BR,1676838731
19,ilulissat,69.2167,-51.1,255.16,71,100,7.2,GL,1676839023
20,graham,47.0529,-122.2943,281.86,88,100,3.6,US,1676839024
21,dikson,73.5069,80.5464,267.98,95,100,5.96,RU,1676839025
22,hobart,-42.8794,147.3294,290.4,74,75,3.09,AU,1676838970
23,yellowknife,62.456,-114.3525,244.44,76,20,1.54,CA,1676839005
24,rikitea,-23.1203,-134.9692,299.56,75,14,7.42,PF,1676839026
25,palmares do sul,-30.2578,-50.5097,296.16,50,5,6.35,BR,1676838852
26,provideniya,64.3833,-173.3,251.94,99,100,6.41,RU,1676839027
27,tupik,54.4253,119.9327,241.83,98,26,1.14,RU,1676839028
28,waipawa,-41.4122,175.5153,291.49,73,1,1.0,NZ,1676839028
29,hasaki,35.7333,140.8333,282.2,54,78,6.14,JP,1676839029
